[forsens-face-hunter]
	Arcane Shot, 1, 2
	Timber Wolf, 1, 2
	Tracking, 1, 2
	Explosive Trap, 2, 2
	Misdirection, 2, 1
	Animal Companion, 3, 2
	Eaglehorn Bow, 3, 2
	Kill Command, 3, 2
	Unleash the Hounds, 3, 2
	Starving Buzzard, 5, 2
	Abusive Sergeant, 1, 1
	Leper Gnome, 1, 2
	Bluegill Warrior, 2, 2
	Arcane Golem, 3, 1
	Ironbeak Owl, 3, 2
	Wolfrider, 3, 2
	Leeroy Jenkins, 5, 1

[twisteds-miracle-rogue]
	Backstab, 0, 2
	Preparation, 0, 2
	Shadowstep, 0, 2
	Conceal, 1, 2
	Deadly Poison, 1, 2
	Cold Blood, 2, 2
	Eviscerate, 2, 2
	Sap, 2, 2
	Shiv, 2, 2
	Fan of Knives, 3, 1
	SI:7 Agent, 3, 2
	Blade Flurry, 4, 1
	Bloodmage Thalnos, 2, 1
	Earthen Ring Farseer, 3, 2
	Azure Drake, 5, 2
	Leeroy Jenkins, 5, 1
	Gadgetzan Auctioneer, 6, 2

[forsens-giant-ramp-druid]
	Innervate, 0, 2
	Mark of the Wild, 2, 2
	Wrath, 2, 2
	Healing Touch, 3, 1
	Wild Growth, 3, 2
	Keeper of the Grove, 4, 2
	Swipe, 4, 2
	Druid of the Claw, 5, 2
	Ancient of War, 7, 2
	Bloodmage Thalnos, 2, 1
	Loot Hoarder, 2, 1
	Azure Drake, 5, 2
	Faceless Manipulator, 5, 2
	Cairne Bloodhoof, 6, 1
	Sylvanas Windrunner, 6, 1
	The Black Knight, 6, 1
	Ragnaros the Firelord, 8, 1
	Alexstrasza, 9, 1
	Molten Giant, 20, 2

[twisteds-ramp-druid]
	Innervate, 0, 2
	Mark of the Wild, 2, 2
	Wrath, 2, 2
	Healing Touch, 3, 1
	Wild Growth, 3, 2
	Keeper of the Grove, 4, 2
	Swipe, 4, 2
	Druid of the Claw, 5, 2
	Ancient of Lore, 7, 2
	Ancient of War, 7, 1
	Cenarius, 9, 1
	Bloodmage Thalnos, 2, 1
	Earthen Ring Farseer, 3, 2
	Chillwind Yeti, 4, 2
	Azure Drake, 5, 1
	Faceless Manipulator, 5, 1
	Stampeding Kodo, 5, 1
	Cairne Bloodhoof, 6, 1
	Sunwalker, 6, 1
	The Black Knight, 6, 1

[twisteds-control-warrior]
	Shield Slam, 1, 2
	Whirlwind, 1, 2
	Armorsmith, 2, 2
	Cleave, 2, 1
	Cruel Taskmaster, 2, 2
	Execute, 2, 2
	Slam, 2, 2
	Fiery War Axe, 3, 2
	Frothing Berserker, 3, 2
	Shield Block, 3, 2
	Brawl, 5, 1
	Gorehowl, 7, 1
	Grommash Hellscream, 8, 1
	Acolyte of Pain, 3, 2
	Faceless Manipulator, 5, 1
	Cairne Bloodhoof, 6, 1
	Baron Geddon, 7, 1
	Ragnaros the Firelord, 8, 1
	Alexstrasza, 9, 1
	Ysera, 9, 1

[kungens-ramp-druid]
	Innervate, 0, 2
	Mark of the Wild, 2, 2
	Wrath, 2, 2
	Healing Touch, 3, 1
	Wild Growth, 3, 2
	Keeper of the Grove, 4, 2
	Swipe, 4, 2
	Druid of the Claw, 5, 2
	Starfall, 5, 1
	Nourish, 6, 1
	Ancient of Lore, 7, 2
	Ancient of War, 7, 2
	Cenarius, 9, 1
	Chillwind Yeti, 4, 1
	Big Game Hunter, 5, 1
